_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
24,1106,Scarborough Hospital,"3030 Birchmount Rd, Toronto, ON     M1W 3W3","L'Amoreaux, 117",416-495-2555,,"<a href=""http://www.tsh.to/areas-of-care/emergency/sexual-assault-and-domestic-violence/"" target=""_blank"">www.tsh.to/areas-of-care/emergency/sexual-assault-and-domestic-violence/</a>","Female, male and transgendered individuals 12 years and older, who have been sexually assaulted or have experienced intimate partner violence","24-hour emergency care * medical assessment and treatment * crisis intervention * forensic documentation and evidence collection * risk assessment * safety planning * referral to community resources<br><br>

Follow up counselling services provided at Scarborough Centre for Healthy Communities, 416-847-4144 -- see separate entry",By referral from the Emergency Department at either General or Birchmount campus -- see separate listings,English ; Interpretive services,Wheelchair accessible building including main entrance and barrier free washrooms * braille and tone elevator with lowered buttons * designated parking,Emergencies -- Mon-Sun 24 hours * office -- Mon-Fri 9 am-5 pm,(50) Non Profit,2016-01-05T05:00:00,4616608,,,,,3030 Birchmount Rd,Scarborough,M1W 3W3,"{u'type': u'Point', u'coordinates': (-79.3090539579, 43.8018913558)}"
25,1097,Rexdale Community Health Centre,"8 Taber Rd, Toronto, ON     M9W 3A4","West Humber-Clairville, 1",416-744-0066,reception@rexdalechc.com,"<a href=""http://www.rexdalechc.com"" target=""_blank"">www.rexdalechc.com</a>",Varies by program,"Primary health care provided by doctors and nurse practitioners * counselling and case management * dental clinic for children and seniors * diabetes education centre * drop-in social program for deaf and hard of hearing adults * flu shots * foot care * health promotion * information and referral to services in the community * leadership programs for children and youth * nutrition * physiotherapy * seniors social and health promotion programs * sexual health clinic, including HIV testing * speech and language * well woman clinic * no Ontario Health Insurance required for general services<br><br>
<b>Good Food Box </b>distribution -- see separate entry FoodShare<br><br>
<b>Pathways to Education </b>-- academic and financial support for high school students<br><br>
Some services provided at satellite locations at 609 The East Mall, Unit 32, 2267 Islington Ave and Rexdale Community Hub, 21 Panorama Court -- call for details",,English ; diabetes education program offered in several languages * cultural interpreters available for other languages,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Dedicated accessible washroom with all features,"Mon, Wed 8:30 am-8 pm; Tue, Thu-Fri 8:30 am-5 pm; Sat 9 am-2 pm",(50) Non Profit ; (51) Registered Charity,2014-04-03T04:00:00,1035756,,,,,8 Taber Rd,Etobicoke,M9W 3A4,"{u'type': u'Point', u'coordinates': (-79.572090762, 43.7193125599)}"
26,1098,Yonge Street Mission,"381 Yonge St, Toronto, ON     M5B 1S1","Church-Yonge Corridor, 75",416-929-9614 ext 2238,healthcentre@ysm.ca,"<a href=""http://www.ysm.ca"" target=""_blank"">www.ysm.ca</a>","Street involved and homeless youth only * 24 years and under (no minimum age) * also children, infants of street youth","Health services including primary medical care and dental care, check ups, lab tests, including HIV testing * birth control, pregnancy tests, immunization, prenatal care, perinatal services, prenatal and parenting classes * dental care * optometry, eye glasses * chiropractor * nutritionist * physiotherapist * psychiatrist * addictions counselling * traditional Chinese medicine * foot care, socks and shoes * health education * counselling on health issues * referrals * ID replacement * access to diapers, formula, baby food * no Ontario Health Insurance or identification required * child care available","Walk in only, no appointments",English,"Wheelchair accessible main entrance and ground floor, assistance needed with door ; Barrier-free washroom",Health Centre -- Mon-Fri 1 pm-4:30 pm * office -- Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2014-08-15T04:00:00,7730095,,,,,381 Yonge St,former Toronto,M5B 1S1,"{u'type': u'Point', u'coordinates': (-79.3815692219, 43.6587484653)}"
27,1099,LAMP Community Health Centre,"185 Fifth St, Toronto, ON     M8V 2Z5","New Toronto, 18",416-252-6475,frontdesk@lampchc.org,"<a href=""http://www.lampchc.org"" target=""_blank"">www.lampchc.org</a>",Residents of catchment area,"Primary health care services * health education and disease prevention * family physicians, nurse practitioners * doctor on call 24 hours * no Ontario Health Insurance required for general services * Healthy Sex Clinic (family planning) Mon 2 pm-7:30 pm * Naturopathy Clinic Thu 1:45 pm-6:45 pm ; 416-252-9701 ext 295 * Asthma Project <br><br>

<b>Dental Clinic -- 416-252-8576</b> ; Tue, Thu-Fri 8 am-4 pm * free dental care for eligible client * operated by Toronto Public Health <br><br>

<b>Foot Care (Chiropody) 416-252-6471 ext 264</b> ; Mon-Thu <br><br>

<b>Nutrition Counselling and Services 416-252-9701 ext 271</b> * individual counseling (Clinical Days) * nutrition supports for other programs (Community Days) <br><br> 

<b>West Toronto Diabetes Education Program (WTDEP) 416-252-1928</b> -- for people with Type 2 diabetes, prediabetes or at risk and interested in prevention education, counselling and support * one on one assessment, monitoring, and counselling by nurse educators and registered dietitians in many locations -- no referral required","<b>Primary Health Care</b> -- Call to check if accepting new patients
<b>Asthma Project</b>  by referral only
<b>Dental clinic</b>  by appointment only
<b>Chiropody (Foot Care)</b>  by appointment only",English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,"Mon-Wed 9 am-8 pm, Thu-Fri 9 am-5 pm * after hours, answering service relays message 24 hours * health care providers on call for registered clients with medical emergencies",(50) Non Profit ; (51) Registered Charity,2015-09-08T04:00:00,1001336,,,,,185 Fifth St,Etobicoke,M8V 2Z5,"{u'type': u'Point', u'coordinates': (-79.5034306602, 43.6035647286)}"
28,1100,Anne Johnston Health Station,"2398 Yonge St, Toronto, ON     M4P 2H4","Yonge-Eglinton, 100",416-486-8666,info@ajhs.ca,"<a href=""http://www.ajhs.ca"" target=""_blank"">www.ajhs.ca</a>","Youth 13-26 years who live, work or attend school in catchment area * seniors 55 years and older who live in catchment area * people with physical disabilities who live in the City of Toronto","Community health centre with focus on youth, seniors and persons with physical disabilities * in-home primary medical care for seniors, including occupational therapy, medication reviews, home safety assessment * foot care * nutrition counselling * clinic for youth 13-26 years including birth control, sexuality, testing for sexually transmitted diseases and HIV * <b>Barrier Free Health Zone</b> -- primary medical care for persons 18 years and older with physical disabilities * health education promotion, seminars and workshops * referrals to health and social services * resource centre * no Ontario Health Insurance required for general services<br> <br> 

<b>Adult day program</b> -- for frail elderly and those with Alzheimer Disease * call to apply * transportation available * partnership with SPRINT<br> <br> 

<b>Toronto Diabetes Prevention Program</b> 416-486-8666 ext 299 -- nutrition counselling * individual and group counselling * foot care * home visits * community outreach * workshops <br><br>

<b>SexAbility</b> -- sexual health information in person and by phone for youth and young adults 14-29 years with mobility disabilities * peer counselling * workshops, presentations, social events * call for appointment",,English ; Arabic ; Portuguese ; Turkish ; interpreters may be arranged for other languages,"Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features - lowered buttons ; Barrier-free washroom including door and stall ; Street parking, covered drive through drop off","Mon-Tue, Thu-Fri 8:30 am-5 pm; Wed 8:30 am-7 pm; Sat 11:30 am-4 pm",(50) Non Profit ; (51) Registered Charity,2015-02-12T05:00:00,8540543,,,,,2398 Yonge St,former Toronto,M4P 2H4,"{u'type': u'Point', u'coordinates': (-79.3994595904, 43.7097051042)}"
29,1101,Toronto Public Health,"277 Victoria St, 5th Fl, Toronto, ON     M5B 1W2","Church-Yonge Corridor, 75",Toronto Health Connection 416-338-7600 ; After hours emergency 311 (outside city limits 416-392-2489),publichealth@toronto.ca,"<a href=""http://www.toronto.ca/health"" target=""_blank"">www.toronto.ca/health</a>",Varies by program,"Health promotion, health protection and disease prevention programs and services<br><br>
Air quality health index * beaches water quality * communicable disease control * DineSafe inspections of establishments that prepare and serve food, including restaurants, day care centres and nursing homes * emergency planning and preparedness * extreme heat/cold alerts * food handler certification program * health status reports * immunization * prenatal and parenting programs * Toronto Preschool Speech and Language Services -- see separate entry<br><br>
<b>Healthy Babies Healthy Children </b>-- home visiting program for pregnant women and parents of children birth-3 years<br><br>
<b>Dental services </b>-- free <a href="" http://www.toronto.ca/health/dental/locations.htm ""> dental clinics </a>
for eligible children and youth birth-17 years, adults enrolled in selected Toronto Public Health programs, and seniors 65 years and older * mobile dental clinic travels to selected community agencies -- call 311 for details * website lists <a href="" http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8c1b7dbbfd510410VgnVCM10000071d60f89RCRD&vgnextchannel=51b74485d1210410VgnVCM10000071d60f89RCRD&vgnextfmt=default""> low-cost dental clinics </a>
for those not eligible for free services<br><br>
<a href="" http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=442a9561d1352410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">eCounselling</a>
-- online counselling with a public health nurse or dietician<br><br><a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7a9eebfc2bb31410VgnVCM10000071d60f89RCRD"">Online information </a>
-- alcohol and drug abuse * bed bugs * environmental health * food safety * healthy child development * healthy living * injury prevention * mental health * nutrition * smoking cessation * workplace health<br><br>
Helplines:<br><br>
<b>AIDS & Sexual Health Infoline </b>416-392-2437 (416-392-AIDS)<br><br>
<b>Immunization Information Line </b>416-392-1250<br><br>
<b>The Works </b>-- methadone clinic and needle exchange 416-392-0520, or if busy 416-392-0521",,English,Wheelchair accessible building including main entrance and barrier free washrooms,Mon-Fri 8:30 am-4:30 pm,(20) Regional Government,2014-05-29T04:00:00,7642554,,,,,277 Victoria St,former Toronto,M5B 1W2,"{u'type': u'Point', u'coordinates': (-79.3793385702, 43.6565589128)}"
30,1107,Planned Parenthood Toronto,"Bay Centre for Birth Control, 790 Bay St, 8th Fl, Toronto, ON     M5G 1N8","Bay Street Corridor, 76",416-351-3700,,"<a href=""http://www.ppt.on.ca"" target=""_blank"">www.ppt.on.ca</a>",,"<b>Peer-to-peer education</b> -- in-person information on sexual and reproductive health issues including birth control options, emergency contraception, fertility awareness, pregnancy options including abortion, healthy sexuality and relationships, sexually transmitted infections, HIV/AIDS, safer sex practices * free condoms * provided by trained volunteers * call for appointment<br><br>

<b>Check IT Out, www.check-it-out.ca</b> -- drop-in program providing pap tests only * for lesbian, bisexual, queer or gay women, and any other women who have sex with women * no appointment necessary * no Ontario Health Insurance required * female clinicians * online information on pap tests, human papillomavirus (HPV), cervical cancer<br><br>

Also Mobile Health Unit (MHU) and sexual health workshops provided to women's shelters",,English,Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Underground parking,"Peer-to-peer education -- Tue-Thu 5 pm-8 pm, Sat 9:30 am-12:30 pm * Check It Out -- Wed 4 pm-7:30 pm",(50) Non Profit ; (51) Registered Charity,2014-06-27T04:00:00,7792587,,,,,790 Bay St,former Toronto,M5G 1N8,"{u'type': u'Point', u'coordinates': (-79.3861750845, 43.6604459644)}"
31,1109,Crossways Sexual Health Clinic,"2340 Dundas St W, Toronto, ON     M6P 4A9",,416-392-0999,,"<a href=""http://"" target=""_blank""></a>",People who need sexual health services,Sexual health clinic * health professionals test for and treat sexually transmitted infections * family planning services<br><ul><li>birth control counselling</li><li>low-cost or free birth control</li><li>emergency birth control</li><li>pregnancy testing and counselling</li><li>sexual health information and counselling</li><li>sexuality and relationship counselling</li><li>Pap smears</li><li>breast exams</li><li>rapid HIV testing</li></ul>,Call or drop-in * no referral required,English,Fully Accessible,"Mon 9:30am-12noon, 2pm-6:30pm * Tue 1pm-5:30pm * Wed 9:30am-11:30am, 1pm-3:30pm * Thu 12noon-4pm * Fri 9:30am-12noon",(50) Non Profit,2015-07-21T04:00:00,9638447,,,,,2340 Dundas St W,former Toronto,M6P 4A9,"{u'type': u'Point', u'coordinates': (-79.4522693315, 43.656715271)}"
32,1110,Bloor West Village Women's Clinic,"2425 Bloor St W, Ste 403, Toronto, ON     M6S 4W4",,416-849-4595,,"<a href=""http://"" target=""_blank""></a>",No restrictions,"Abortion services up to 14 weeks gestation * pre-abortion and birth control counselling, and follow-up * all female staff * parental consent not required",Call for information or to make an appointment,English,Fully Accessible,"Mon-Wed, Fri-Sat 9 am-6 pm * walk-in service available most mornings * call first to confirm",(60) Commercial,2015-01-26T05:00:00,10341142,,,,,2425 Bloor St W,former Toronto,M6S 4W4,"{u'type': u'Point', u'coordinates': (-79.4834551242, 43.6491834214)}"
33,1111,Jane St Sexual Health Clinic,"662 Jane St, Toronto, ON     M6N 4A7",,416-338-7272,,"<a href=""http://"" target=""_blank""></a>",People who need sexual health services,Sexual health clinic * health professionals test for and treat sexually transmitted infections * family planning services<br><ul><li>birth control counselling</li><li>low-cost or free birth control</li><li>emergency birth control</li><li>pregnancy testing and counselling</li><li>rapid HIV testing</li><li>sexuality and relationship counselling</li><li>Pap smears</li><li>breast exams</li></ul>,Drop-in * no referral or identification required,English,,Tue 1pm-5:30pm * Wed 2pm-6:30pm * Thu 9:30am-4 pm * closed 11:30am-1pm,(50) Non Profit,2015-02-05T05:00:00,9446362,,,,,662 Jane St,York,M6N 4A7,"{u'type': u'Point', u'coordinates': (-79.492399172, 43.668030912)}"
34,1112,Ryerson Medical Centre,"350 Victoria Rd S, Toronto, ON     M5B 2K3",,416-979-5070,medicalct@ryerson.ca,"<a href=""http://www.ryerson.ca"" target=""_blank"">www.ryerson.ca</a>",Students and staff who need medical care * valid health card required,University community medical clinic * health professionals assess and treat minor infections and injuries<br><ul><li>pregnancy testing and counselling</li><li>testing for sexually transmitted infections</li><li>Pap smears</li><li>breast exams</li><li>sexuality and relationship counselling</li><li>immunizations</li></ul>,Call or drop in * no referral required,English,,Mon-Fri 9am-5pm,(50) Non Profit,2015-03-11T04:00:00,7730108,,,,,350 Victoria St,former Toronto,M5B 2K3,"{u'type': u'Point', u'coordinates': (-79.380479826, 43.6577656355)}"
35,1113,University of Toronto - Main Campus - Health Services,"214 College St, 2nd Floor, Toronto, ON     M5T 2Z9",,416-978-8030,,"<a href=""http://healthservices.utoronto.ca"" target=""_blank"">healthservices.utoronto.ca</a>",Students who need medical care * valid health card required,University community medical clinic * health professionals assess and treat minor infections and injuries<br><ul><li>birth control counselling</li><li>testing for sexually transmitted infections</li><li>pregnancy testing and counselling</li><li>emergency birth control</li><li>Pap smears</li><li>breast exams</li><li>immunizations</li><li>travel immunization</li><li>smoking cessation program (help to quit smoking)</li></ul>,Call for an appointment * no referral required<br>Drop-in appointments on a first-come first-served basis,English,Fully Accessible,"Mon, Thu, Fri 8:45am-5pm * Tue, Wed 8:45am-7pm",(50) Non Profit,2015-03-13T04:00:00,14199679,,,,,214 College St,former Toronto,M5T 3A1,"{u'type': u'Point', u'coordinates': (-79.3968977191, 43.6589181863)}"
